name,phone,email,website,rating,reviews,address,official_name,company_number,sic_codes
Gas Engineers,,,,,,"Muswell Hill Broadway, Muswell Hill, London N10 2QR, United Kingdom",,,
Thames Gas Heating Electrical Ltd,,,,4.9,85.0,"1 Bromley Ln, Chislehurst BR7 6LH, United Kingdom",,,
South Croydon Gas Engineers,,,,,,"Newark Rd, South Croydon CR2 6HR, United Kingdom",,,
I-Gas Services Ltd,,,,4.9,153.0,"26 Scott Cl, Epsom KT19 2NY, United Kingdom",,,
A R Gas Engineers,,,,4.9,81.0,"41 Galsworthy Rd, London NW2 2SG, United Kingdom",,,
Wonderfuel Gas,,,,4.9,29.0,"323 South Ln, New Malden KT3 5RR, United Kingdom",,,
KD Jones Heating Engineers Ltd,,,,4.6,84.0,"The Granary, Brewer St, Bletchingley, Redhill RH1 4QP, United Kingdom",,,
Stevenson Heating Ltd,,,,4.5,69.0,"50-52 Glebe Way, West Wickham BR4 0RL, United Kingdom",,,
Boiler Burner Commercial Gas Engineer and Boiler Services,,,,5.0,4.0,"Cypresses, Frimley Rd, Ash Vale GU12 5NL, United Kingdom",,,
KAS Plumbing & Gas Ltd,,,,5.0,13.0,"Orchard Ave, Mitcham CR4 4JH, United Kingdom",,,
Bromley Boilers LTD,,,,4.2,10.0,"21-23 Elmfield Rd, Bromley BR1 1LT, United Kingdom",,,
British Gas Boiler,,,,3.9,12.0,"213 Grange Park Rd, Thornton Heath CR7 8SA, United Kingdom",,,
Battersea Bathroom Fitters,,,,5.0,41.0,"311 Lavender Hill, London SW11 1LN, United Kingdom",,,
Deluxcore. Bathroom Fitters London,,,,5.0,95.0,"99-109 Battersea Business Centre, Lavender Hill, London SW11 5QL, United Kingdom",,,
KBB Master - Bathroom Fitters London,,,,4.9,53.0,"252 Dowdeswell Cl, London SW15 5RN, United Kingdom",,,
The Bathing Machine,,,,4.9,97.0,"9 Godstone Rd, Caterham CR3 6RE, United Kingdom",,,
GotBath UK Ltd - Bathroom & Kitchen Installers,,,,5.0,45.0,"2nd Floor, 15 Station Rd, West Drayton UB7 7BT, United Kingdom",,,
South London Kitchen And Bathroom Fitters Ltd,,,,4.8,39.0,"24 Church Ln, Bromley BR2 8LB, United Kingdom",,,
Bathroom Fitter,,,,5.0,20.0,"172 Hampton Rd W, Hanworth, Feltham TW13 6BE, United Kingdom",,,
JBS Bathrooms,,,,5.0,47.0,"107 Spa Hill, London SE19 3TT, United Kingdom",,,
Bathroom & Kitchen Eleven,,,,5.0,76.0,"49-55 Fleece Rd, Long Ditton, Surbiton KT6 5JR, United Kingdom",,,
All Kitchens & Bathrooms,,,,5.0,6.0,"23 Bourne Park Cl, Kenley CR8 5BS, United Kingdom",,,
Clear Plumbing and Building LTD,,,,5.0,41.0,"12 Hurst Rd, Epsom KT19 8SJ, United Kingdom",,,
Kohler Home Improvements Ltd,,,,5.0,4.0,"7 High St, Godstone RH9 8AF, United Kingdom",,,
Chislehurst Pristine Bathrooms,,,,5.0,25.0,"35 Barham Rd, Chislehurst BR7 6HU, United Kingdom",,,
Navi Bathroom Design & Installation,,,,5.0,27.0,"124 Phipps Bridge Rd, London SW19 2SU, United Kingdom",,,
Mark Tibbs,,,,4.5,26.0,"333A Limpsfield Rd, South Croydon CR2 9DH, United Kingdom",,,
WC ONE Bromley,,,,4.9,53.0,"110-112 Beckenham Ln, Bromley BR2 0DW, United Kingdom",,,
East London Bathroom Fitters,,,,4.5,24.0,"2 Killick Way, London E1 3FD, United Kingdom",,,
Epsom and Leatherhead Bathrooms,,,,5.0,19.0,"High St, Epsom KT19 8DA, United Kingdom",,,
TP Renovations Ltd - Kitchen and Bathroom Installation Experts,,,,5.0,23.0,"39 Croft Rd, London SW16 3NG, United Kingdom",,,
HSHomes | Kitchen Fitter | Bathroom Fitter Sutton,,,,5.0,8.0,"2/Hshomes/Woodstock Avenue, Sutton SM3 9EF, United Kingdom",,,
Bathroom Goals Ltd,,,,5.0,45.0,"677 High Street, London N12 0DA, United Kingdom",,,
Bathroom Renovation and fitting,,,,5.0,8.0,"177 St Annes Gardens, London NW10 7HL, United Kingdom",,,
Bathrooms London,,,,5.0,20.0,"141 Whitton Rd, Twickenham TW1 1DF, United Kingdom",,,
Elevate Fitters Ltd,,,,5.0,1.0,"10 Thanet Pl, Croydon CR0 1QP, United Kingdom",,,
The Bathroom Fitters,,,,4.3,4.0,"28 Matcham Rd, London E11 3LF, United Kingdom",,,
Bathfit Ltd,,,,4.9,29.0,"19 Townholm Cres, London W7 2LY, United Kingdom",,,
South East Renovations,,,,4.9,49.0,"18 Newark Rd, South Croydon CR2 6HQ, United Kingdom",,,
The Bromley Bathroom Company Ltd,,,,4.7,27.0,"80 Croydon Rd, West Wickham BR4 9HY, United Kingdom",,,
Surrey Bathrooms & Interiors Ltd,,,,5.0,25.0,"22 Broadacres, Guildford GU3 3AZ, United Kingdom",,,
Bathroom and Kitchen Installations,,,,4.9,15.0,"28A Bentley St, Gravesend DA12 2DH, United Kingdom",,,
Our Bathroom,,,,4.9,165.0,"Unit 14, Orion Business Centre, Surrey Canal Rd, London SE14 5RT, United Kingdom",,,
"IGD Building Surrey: Home, Bathroom, Kitchen Renovation",,,,4.9,40.0,"339 Chipstead Valley Rd, Coulsdon CR5 3BZ, United Kingdom",,,
Richmond Bathrooms,,,,4.8,39.0,"32 Woodville Rd, Richmond TW10 7QL, United Kingdom",,,
Bathroom Fitting & Bathroom Renovation London,,,,5.0,3.0,"69AA, St Dunstan's Rd, London W6 8RE, United Kingdom",,,
"Bathroom Fitting London, Bathroom Renovation and Bathroom Remodeling | Installation, Refurbishment",,,,5.0,3.0,"52 York St, Twickenham TW1 3JZ, United Kingdom",,,
Love Your Bathroom Ltd,,,,5.0,4.0,"25A Montfort Rise, Salfords, Redhill RH1 5DU, United Kingdom",,,
Roben Bathrooms LTD,,,,5.0,11.0,"FLAT 9 Cotswold Way, Worcester Park KT4 8HB, United Kingdom",,,
Bathroom Fitting London,,,,5.0,6.0,"155 Biscoe Cl, Hounslow TW5 0UU, United Kingdom",,,
NV Bathroom Renovation,,,,5.0,7.0,"220 St.Peters Gardens, Norwood, London SE27 0PN, United Kingdom",,,
South London Electricians,,,,4.9,138.0,"37 Kingswood Ave, South Croydon CR2 9DQ, United Kingdom",,,
EPPS Electrical Ltd,,,,5.0,129.0,"44 Heath Rd, Caterham CR3 5RQ, United Kingdom",,,
SES Electrical Contractors (UK) Ltd,,,,4.9,381.0,"16 Stirling Rd, Chiswick, London W3 8DJ, United Kingdom",,,
Mek Electrical Services LTD,,,,5.0,87.0,"360 Brighton Rd, South Croydon CR2 6AL, United Kingdom",,,
24hr Emergency Electrician Croydon | ABCD Electrical,,,,4.9,208.0,"17 Canning Rd, Croydon CR0 6RY, United Kingdom",,,
